Embracing new opportunities in numerical linear algebra,"Pengwen Chen, Matthrew Lin"
Combinatorial matrix theory,"Aida Abiad, Shaun Fallat, Michael Tait"
Matrix inequalities with applications,"D. S. Cvetković Ilić, Qing-Wen Wang, Yang Zhang"
Linear algebra methods for inverse problems and data assimilation,"Julianne Chung, Arvind K. Saibaba"
"Advances in matrix equations: Theory, computations, and applications","Andrii Dmytryshyn, Davide Palitta"
Model Reduction,"Christopher Beattie, Zlatko Drmać"
